Indicator ID,WB Code,Indicator,Pillar,Direction,ISO3,Country,Year,Value,Unit,ObservationStatus,Decimals,SourceLastUpdated,RetrievedAt
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BTN,Bhutan,2019,75.7440574444583,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BTN,Bhutan,2018,84.5556009701146,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BOL,Bolivia,2024,90.9584503173828,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BOL,Bolivia,2023,96.2025910226778,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BOL,Bolivia,2022,96.544110752129,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BOL,Bolivia,2020,92.1121793096985,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BOL,Bolivia,2019,90.8282080372604,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BOL,Bolivia,2018,94.1732848592557,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BIH,Bosnia and Herzegovina,2023,100.520736694336,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BIH,Bosnia and Herzegovina,2022,100.880813598633,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BIH,Bosnia and Herzegovina,2021,96.8716278076172,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BIH,Bosnia and Herzegovina,2020,96.0395965576172,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BIH,Bosnia and Herzegovina,2019,99.1442184448242,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BIH,Bosnia and Herzegovina,2018,93.8655014038086,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BWA,Botswana,2022,101.532181974812,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,VGB,British Virgin Islands,2024,46.419750213623,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,VGB,British Virgin Islands,2023,80.8411214953271,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,VGB,British Virgin Islands,2020,63.4315424610052,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,VGB,British Virgin Islands,2019,59.8130841121495,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,VGB,British Virgin Islands,2018,64.5418326693227,,,0,2026-07-13,2026-08-20 16:40:35.313
